    i                  Ax                  Ay                  Bx                  By                  Cx                  Cy
     1       870.000000000      1351.000000000      -498.000000000       -17.000000000        -0.364035088        -0.012426901
     2       889.000000000      1316.000000000      -479.000000000       -52.000000000        -0.350146199        -0.038011696
     3       923.000000000      1296.000000000      -445.000000000       -72.000000000        -0.325292398        -0.052631579
     4       897.000000000      1267.000000000      -471.000000000      -101.000000000        -0.344298246        -0.073830409
     5       881.000000000      1231.000000000      -487.000000000      -137.000000000        -0.355994152        -0.100146199
     6       900.000000000      1197.000000000      -468.000000000      -171.000000000        -0.342105263        -0.125000000
     7       890.000000000      1159.000000000      -478.000000000      -209.000000000        -0.349415205        -0.152777778
     8       912.000000000      1126.000000000      -456.000000000      -242.000000000        -0.333333333        -0.176900585
     9       934.000000000      1093.000000000      -434.000000000      -275.000000000        -0.317251462        -0.201023392
    10       973.000000000      1086.000000000      -395.000000000      -282.000000000        -0.288742690        -0.206140351
    11       989.000000000      1050.000000000      -379.000000000      -318.000000000        -0.277046784        -0.232456140
    12      1007.000000000      1015.000000000      -361.000000000      -353.000000000        -0.263888889        -0.258040936
    13      1045.000000000      1004.000000000      -323.000000000      -364.000000000        -0.236111111        -0.266081871
    14      1084.000000000      1004.000000000      -284.000000000      -364.000000000        -0.207602339        -0.266081871
    15      1124.000000000      1004.000000000      -244.000000000      -364.000000000        -0.178362573        -0.266081871
    16      1145.000000000       971.000000000      -223.000000000      -397.000000000        -0.163011696        -0.290204678
    17      1168.000000000       939.000000000      -200.000000000      -429.000000000        -0.146198830        -0.313596491
    18      1202.000000000       918.000000000      -166.000000000      -450.000000000        -0.121345029        -0.328947368
    19      1240.000000000       909.000000000      -128.000000000      -459.000000000        -0.093567251        -0.335526316
    20      1279.000000000       902.000000000       -89.000000000      -466.000000000        -0.065058480        -0.340643275
    21      1311.000000000       879.000000000       -57.000000000      -489.000000000        -0.041666667        -0.357456140
    22      1337.000000000       849.000000000       -31.000000000      -519.000000000        -0.022660819        -0.379385965
    23      1373.000000000       833.000000000         5.000000000      -535.000000000         0.003654971        -0.391081871
    24      1410.000000000       846.000000000        42.000000000      -522.000000000         0.030701754        -0.381578947
