Short_name	species	lineage	week	clone	day	location	replicate
0-0-1-E	BS	0	0	1	1	E	1
0-0-1-E	BS	0	0	1	1	E	2
0-0-1-E	BS	0	0	1	1	E	3
0-0-2-E	BS	0	0	1	2	E	1
0-0-2-E	BS	0	0	1	2	E	2
0-0-2-E	BS	0	0	1	2	E	3
0-0-4-E	BS	0	0	1	4	E	1
0-0-4-E	BS	0	0	1	4	E	2
0-0-4-E	BS	0	0	1	4	E	3
0-0-7-E	BS	0	0	1	7	E	1
0-0-7-E	BS	0	0	1	7	E	2
0-0-7-E	BS	0	0	1	7	E	3
1-3-2-E	BS	1	3	2	2	E	1
1-3-2-E	BS	1	3	2	2	E	2
1-3-7-E	BS	1	3	2	7	E	1
1-3-7-E	BS	1	3	2	7	E	2
1-5-1-E	BS	1	5	3	1	E	1
1-5-1-E	BS	1	5	3	1	E	2
1-5-1-E	BS	1	5	3	1	E	3
1-5-2-E	BS	1	5	3	2	E	1
1-5-2-E	BS	1	5	3	2	E	2
1-5-2-E	BS	1	5	3	2	E	3
1-5-2-C	BS	1	5	3	2	C	1
1-5-2-C	BS	1	5	3	2	C	2
1-5-4-E	BS	1	5	3	4	E	1
1-5-4-E	BS	1	5	3	4	E	2
1-5-4-E	BS	1	5	3	4	E	3
1-5-7-E	BS	1	5	3	7	E	1
1-5-7-E	BS	1	5	3	7	E	2
1-5-7-E	BS	1	5	3	7	E	3
1-5-7-C	BS	1	5	3	7	C	1
1-5-7-C	BS	1	5	3	7	C	2
2-1-2-E	BS	2	1	4	2	E	1
2-1-2-E	BS	2	1	4	2	E	2
2-1-7-E	BS	2	1	4	7	E	1
2-1-7-E	BS	2	1	4	7	E	2
2-2-2-E	BS	2	2	5	2	E	1
2-2-2-E	BS	2	2	5	2	E	2
2-2-7-E	BS	2	2	5	7	E	1
2-2-7-E	BS	2	2	5	7	E	2
2-6-1-E	BS	2	6	6	1	E	1
2-6-1-E	BS	2	6	6	1	E	2
2-6-1-E	BS	2	6	6	1	E	3
2-6-2-E	BS	2	6	6	2	E	1
2-6-2-E	BS	2	6	6	2	E	2
2-6-2-E	BS	2	6	6	2	E	3
2-6-2-C	BS	2	6	6	2	C	1
2-6-2-C	BS	2	6	6	2	C	2
2-6-4-E	BS	2	6	6	4	E	1
2-6-4-E	BS	2	6	6	4	E	2
2-6-4-E	BS	2	6	6	4	E	3
2-6-7-E	BS	2	6	6	7	E	1
2-6-7-E	BS	2	6	6	7	E	2
2-6-7-E	BS	2	6	6	7	E	3
