i	locus_tag	protein_id	gene	match_locus_tag	match_protein_id	match_gene	BBH	HIT
1	EO946_RS18700	WP_003151132.1	rpmE	BSU_37070	NP_391588.1	rpmEA	1	2
2	EO946_RS18595	WP_003151167.1	atpE	BSU_36860	NP_391567.1	atpE	1	1
3	EO946_RS16110	WP_003151955.1	NA	BSU_32220	NP_391102.1	yutI	0	1
4	EO946_RS14825	WP_003152337.1	NA	BSU_30020	NP_390880.1	ytzE	1	1
5	EO946_RS12840	WP_003152957.1	rpsU	BSU_25410	NP_390419.1	rpsU	1	1
6	EO946_RS12590	WP_003153056.1	rpmG	BSU_24900	NP_570908.2	rpmGA	1	2
7	EO946_RS12325	WP_003153142.1	spoIIIAC	BSU_24410	NP_390321.1	spoIIIAC	1	1
8	EO946_RS11455	WP_003153447.1	NA	BSU_22790	NP_390160.1	hbs	1	2
9	EO946_RS10995	WP_003153604.1	NA	BSU_21930	NP_390076.1	cspD	1	3
10	EO946_RS09015	WP_003154135.1	spoVS	BSU_16980	NP_389580.1	spoVS	1	1
11	EO946_RS08485	WP_003154310.1	acpP	BSU_15920	NP_389474.1	acpA	1	1
12	EO946_RS08360	WP_003154355.1	NA	BSU_15670	NP_570902.1	remA	1	1
13	EO946_RS08065	WP_003154457.1	NA	BSU_15080	NP_389391.1	rpmF	1	1
14	EO946_RS05390	WP_003155248.1	yhzE2	BSU_09959	YP_009513948.1	sscB	1	1
15	EO946_RS03365	WP_003155970.1	NA	BSU_06020	NP_388483.2	groES	1	1
16	EO946_RS02660	WP_003156187.1	ndoA	BSU_04660	NP_388347.1	ndoA	1	1
17	EO946_RS00640	WP_003156421.1	rpmG	BSU_00990	NP_387980.1	rpmGB	1	2
18	EO946_RS00655	WP_003156430.1	rplK	BSU_01020	NP_387983.2	rplK	1	1
19	EO946_RS00670	WP_003156436.1	NA	BSU_01050	NP_387986.1	rplL	1	1
20	EO946_RS00720	WP_003156464.1	rpsJ	BSU_01150	NP_387996.1	rpsJ	1	1
21	EO946_RS00745	WP_003156472.1	rpsS	BSU_01200	NP_388001.1	rpsS	1	1
22	EO946_RS00780	WP_003156486.1	NA	BSU_01270	NP_388008.1	rplX	1	1
