i	locus_tag	old_locus_tag	protein_id	gene	strand	start	end	product
1	BSU_00010	BSU00010	NP_387882.1	dnaA	1	409	1750	chromosomal replication initiator informational ATPase
2	BSU_00020	BSU00020	NP_387883.1	dnaN	1	1938	3075	DNA polymerase III (beta subunit)
3	BSU_00030	BSU00030	NP_387884.1	rlbA	1	3205	3421	RNA binding protein involved in ribosome maturation
4	BSU_00040	BSU00040	NP_387885.1	recF	1	3436	4549	RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding
5	BSU_00050	BSU00050	NP_387886.2	remB	1	4566	4812	regulator of extracellular matrix formation
6	BSU_00060	BSU00060	NP_387887.1	gyrB	1	4866	6783	DNA gyrase (subunit B)
7	BSU_00070	BSU00070	NP_387888.1	gyrA	1	6993	9459	DNA gyrase (subunit A)
8	BSU_00080	BSU00080	NP_387889.1	yaaC	-1	14846	15794	conserved protein of unknown function
9	BSU_00090	BSU00090	NP_387890.1	guaB	1	15914	17381	inosine-monophosphate dehydrogenase
10	BSU_00100	BSU00100	NP_387891.1	dacA	1	17533	18865	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)
11	BSU_00110	BSU00110	NP_387892.1	pdxS	1	19061	19946	glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, synthase subunit
12	BSU_00120	BSU00120	NP_387893.1	pdxT	1	19967	20558	glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT
13	BSU_00130	BSU00130	NP_387894.1	serS	1	20879	22157	seryl-tRNA synthetase
14	BSU_00140	BSU00140	NP_387895.1	dck	-1	22495	23149	deoxyadenosine/deoxycytidine kinase
15	BSU_00150	BSU00150	NP_387896.1	dgk	-1	23145	23769	deoxyguanosine kinase
16	BSU_00160	BSU00160	NP_387897.1	sleL	-1	23867	25151	spore peptidoglycan N-acetylglucosaminidase
17	BSU_00170	BSU00170	NP_387898.1	yaaI	-1	25220	25766	putative amidase (isochorismatase family)
18	BSU_00180	BSU00180	NP_387899.1	tadA	1	25851	26337	tRNA specific adenosine A34 deaminase
19	BSU_00190	BSU00190	NP_387900.2	dnaX	1	26813	28505	DNA polymerase III subunit tau subunit
20	BSU_00200	BSU00200	NP_387901.1	ebfC	1	28528	28852	nucleoid associated protein
21	BSU_00210	BSU00210	NP_387902.1	recR	1	28866	29463	recA filament-DNA complex stabilisation factor
22	BSU_00220	BSU00220	NP_387903.1	yaaL	1	29480	29705	conserved protein of unknown function
23	BSU_00230	BSU00230	NP_387904.2	bofA	1	29771	30035	inhibitor of the pro-sigma(K) processing machinery
24	BSU_00240	BSU00240	NP_387905.1	csfB	1	35530	35725	forespore-specific anti-sigma factor
25	BSU_00250	BSU00250	NP_387906.1	xpaC	1	35844	36459	putative phosphatase
26	BSU_00260	BSU00260	NP_387907.1	yaaN	1	36477	37638	putative toxic compound resistance protein
27	BSU_00270	BSU00270	NP_387908.1	yaaO	1	37719	39162	putative decarboxylase
28	BSU_00280	BSU00280	NP_387909.2	tmk	1	39158	39797	thymidylate kinase
29	BSU_00290	BSU00290	NP_387910.1	darA	1	39870	40200	signal transduction receptor, cyclic di-AMP binding
30	BSU_00300	BSU00300	NP_387911.1	yaaR	1	40212	40653	conserved hypothetical protein
31	BSU_00310	BSU00310	NP_387912.1	holB	1	40664	41654	DNA polymerase III clamp loader delta' subunit
32	BSU_00320	BSU00320	NP_387913.1	ricT	1	41656	42484	subunit of a sporulation, competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two [4Fe-4S]2+)
33	BSU_00330	BSU00330	NP_387914.1	dnaH	1	42498	42858	subunit of the DNA replication complex
34	BSU_00340	BSU00340	NP_387915.1	trmNF	1	42916	43660	tRNA1(Val) (adenine(37)-N6)-methyltransferase
35	BSU_00350	BSU00350	NP_387916.1	yazA	1	43646	43946	putative UvrC-Intron-type (URI) endonuclease
36	BSU_00360	BSU00360	NP_387917.1	rsmI	1	43920	44799	16S rRNA 2'-O-ribose C1402 methyltransferase
37	BSU_00370	BSU00370	NP_387918.1	abrB	-1	44847	45138	transcriptional regulator for transition state genes (AbrB-SurF)
38	BSU_00380	BSU00380	NP_387919.1	metS	1	45632	47627	methionyl-tRNA synthetase
39	BSU_00390	BSU00390	NP_387920.1	dayD	1	47705	48473	D-amino acyl-tRNA deacylase
40	BSU_00400	BSU00400	NP_387921.1	yabE	1	48628	49942	putative cell wall shaping enzyme
41	BSU_00410	BSU00410	NP_387922.1	rnmV	1	50086	50647	ribonuclease M5
42	BSU_00420	BSU00420	NP_387923.1	rsmA	1	50639	51518	dimethyladenosine 16S ribosomal RNA transferase
43	BSU_00430	BSU00430	NP_387924.1	prtG	1	51679	52552	sporulation-specific protease
44	BSU_00440	BSU00440	NP_387925.1	veg	1	52762	53023	conserved hypothetical protein
45	BSU_00450	BSU00450	NP_387926.1	sspF	1	53182	53368	small acid-soluble spore protein (alpha/beta-type SASP)
