i	locus_tag	old_locus_tag	protein_id	gene	strand	start	end	product
1	EO946_RS00005	EO946_00005	WP_003219262.1	dnaA	1	0	1341	chromosomal replication initiator protein DnaA
2	EO946_RS00010	EO946_00010	WP_003219263.1	dnaN	1	1528	2665	DNA polymerase III subunit beta
3	EO946_RS00015	EO946_00015	WP_003219264.1	yaaA	1	2796	3012	ribosome maturation protein RlbA
4	EO946_RS00020	EO946_00020	WP_003219265.1	recF	1	3027	4140	DNA replication/repair protein RecF
5	EO946_RS00025	EO946_00025	WP_003219266.1	NA	1	4162	4408	extracellular matrix regulator RemB
6	EO946_RS00030	EO946_00030	WP_003219267.1	gyrB	1	4462	6379	DNA topoisomerase (ATP-hydrolyzing) subunit B
7	EO946_RS00035	EO946_00035	WP_003219268.1	gyrA	1	6595	9061	DNA topoisomerase (ATP-hydrolyzing) subunit A
8	EO946_RS00065	EO946_00065	WP_032727373.1	NA	-1	14456	15404	hypothetical protein
9	EO946_RS00070	EO946_00070	WP_003225448.1	guaB	1	15524	16991	IMP dehydrogenase
10	EO946_RS00075	EO946_00075	WP_003225446.1	NA	1	17143	18475	D-alanyl-D-alanine carboxypeptidase
11	EO946_RS00080	EO946_00080	WP_003225444.1	pdxS	1	18671	19556	pyridoxal 5'-phosphate synthase lyase subunit PdxS
12	EO946_RS00085	EO946_00085	WP_003225441.1	pdxT	1	19577	20168	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
13	EO946_RS00090	EO946_00090	WP_003225439.1	serS	1	20488	21766	serine--tRNA ligase
14	EO946_RS00100	EO946_00100	WP_013307891.1	NA	-1	22104	22758	deoxynucleoside kinase
15	EO946_RS00105	EO946_00105	WP_003225435.1	NA	-1	22754	23378	deoxynucleoside kinase
16	EO946_RS00110	EO946_00110	WP_003225434.1	NA	-1	23476	24760	LysM peptidoglycan-binding domain-containing protein
17	EO946_RS00115	EO946_00115	WP_003225432.1	NA	-1	24829	25375	cysteine hydrolase
18	EO946_RS00120	EO946_00120	WP_003225431.1	NA	1	25460	25946	nucleoside deaminase
19	EO946_RS00130	EO946_00130	WP_003225429.1	dnaX	1	26421	28113	DNA polymerase III subunit gamma/tau
20	EO946_RS00135	EO946_00135	WP_003225427.1	NA	1	28136	28460	YbaB/EbfC family nucleoid-associated protein
21	EO946_RS00140	EO946_00140	WP_003225425.1	recR	1	28474	29071	recombination protein RecR
22	EO946_RS00145	EO946_00145	WP_003225423.1	NA	1	29088	29313	YaaL family protein
23	EO946_RS00150	EO946_00150	WP_003225421.1	bofA	1	29379	29643	pro-sigmaK processing inhibitor BofA
24	EO946_RS00180	EO946_00180	WP_003218290.1	NA	1	35206	35401	anti-sigma-G factor
25	EO946_RS00185	EO946_00185	WP_003218291.1	NA	1	35533	36148	protein xpaC
26	EO946_RS00190	EO946_00190	WP_003218292.1	NA	1	36166	37324	toxic anion resistance protein
27	EO946_RS00195	EO946_00195	WP_003218293.1	NA	1	37405	38848	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
28	EO946_RS00200	EO946_00200	WP_003218294.1	NA	1	38844	39483	dTMP kinase
29	EO946_RS00205	EO946_00205	WP_003218295.1	NA	1	39557	39887	cyclic di-AMP receptor DarA
30	EO946_RS00210	EO946_00210	WP_003218297.1	NA	1	39899	40340	YaaR family protein
31	EO946_RS00215	EO946_00215	WP_003218299.1	holB	1	40351	41341	DNA polymerase III subunit delta'
32	EO946_RS00220	EO946_00220	WP_003218300.1	NA	1	41343	42171	competence/sporulation regulator complex protein RicT
33	EO946_RS00225	EO946_00225	WP_003218308.1	yabA	1	42185	42545	DNA replication initiation control protein YabA
34	EO946_RS00230	EO946_00230	WP_003218310.1	NA	1	42603	43347	tRNA1(Val) (adenine(37)-N6)-methyltransferase
35	EO946_RS00235	EO946_00235	WP_003218311.1	NA	1	43333	43633	GIY-YIG nuclease family protein
36	EO946_RS00240	EO946_00240	WP_032727259.1	rsmI	1	43607	44486	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
37	EO946_RS00245	EO946_00245	WP_003218316.1	NA	-1	44534	44819	transition state genes transcriptional regulator AbrB
38	EO946_RS00250	EO946_00250	WP_003218318.1	metG	1	45319	47314	methionine--tRNA ligase
39	EO946_RS00255	EO946_00255	WP_003218320.1	NA	1	47392	48160	TatD family hydrolase
40	EO946_RS00260	EO946_00260	WP_079996280.1	NA	1	48285	49629	DUF348 domain-containing protein
41	EO946_RS00265	EO946_00265	WP_003218324.1	rnmV	1	49773	50334	ribonuclease M5
42	EO946_RS00270	EO946_00270	WP_003218326.1	rsmA	1	50326	51205	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
43	EO946_RS00275	EO946_00275	WP_003218328.1	yabG	1	51366	52239	sporulation-specific protease PrtG
44	EO946_RS00280	EO946_00280	WP_003218330.1	NA	1	52449	52710	protein Veg
45	EO946_RS00285	EO946_00285	WP_003218333.1	NA	1	52868	53054	small, acid-soluble spore protein, alpha/beta type
46	EO946_RS00290	EO946_00290	WP_003218334.1	NA	1	53201	54071	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
47	EO946_RS00295	EO946_00295	WP_003218342.1	purR	1	54126	54984	pur operon repressor
48	EO946_RS00300	EO946_00300	WP_003218344.1	NA	1	54980	55358	RidA family protein
49	EO946_RS00305	EO946_00305	WP_003218346.1	NA	1	55553	55847	septation protein SpoVG
50	EO946_RS00310	EO946_00310	WP_003218350.1	glmU	1	56039	57410	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
51	EO946_RS00315	EO946_00315	WP_003218353.1	NA	1	57432	58386	ribose-phosphate diphosphokinase
52	EO946_RS00320	EO946_00320	WP_003218356.1	NA	1	58470	59088	50S ribosomal protein L25/general stress protein Ctc
53	EO946_RS00325	EO946_00325	WP_003218358.1	NA	1	59194	59761	aminoacyl-tRNA hydrolase
54	EO946_RS00330	EO946_00330	WP_003218360.1	NA	1	59820	60051	anti-sigma-F factor Fin
55	EO946_RS00335	EO946_00335	WP_003218362.1	mfd	1	60120	63654	transcription-repair coupling factor
56	EO946_RS00340	EO946_00340	WP_003218365.1	spoVT	1	63789	64326	stage V sporulation protein T
57	EO946_RS00345	EO946_00345	WP_003218367.1	NA	1	64507	66106	polysaccharide biosynthesis protein
58	EO946_RS00350	EO946_00350	WP_003218368.1	mazG	1	66095	67565	nucleoside triphosphate pyrophosphohydrolase
59	EO946_RS00355	EO946_00355	WP_003218370.1	NA	1	67567	67828	RNA-binding S4 domain-containing protein
60	EO946_RS00360	EO946_00360	WP_003218373.1	yabP	1	67906	68209	sporulation protein YabP
61	EO946_RS00365	EO946_00365	WP_003218375.1	yabQ	1	68205	68841	spore cortex biosynthesis protein YabQ
62	EO946_RS00370	EO946_00370	WP_003218377.1	NA	1	68858	69236	cell division protein DivIC
63	EO946_RS00375	EO946_00375	WP_003218379.1	NA	1	69316	69703	RNA-binding protein S1
64	EO946_RS00390	EO946_00390	WP_003218381.1	spoIIE	1	70228	72712	stage II sporulation protein E
65	EO946_RS00395	EO946_00395	WP_003218383.1	NA	1	72796	73534	VWA domain-containing protein
66	EO946_RS00400	EO946_00400	WP_003218385.1	NA	1	73499	74516	serine/threonine protein kinase PrkT
67	EO946_RS00405	EO946_00405	WP_003218386.1	tilS	1	74619	76038	tRNA lysidine(34) synthetase TilS
68	EO946_RS00410	EO946_00410	WP_003218388.1	hpt	1	76034	76577	hypoxanthine phosphoribosyltransferase
69	EO946_RS00415	EO946_00415	WP_003218392.1	ftsH	1	76674	78588	ATP-dependent zinc metalloprotease FtsH
70	EO946_RS00420	EO946_00420	WP_003218395.1	NA	1	78780	79557	type III pantothenate kinase
71	EO946_RS00425	EO946_00425	WP_003218397.1	hslO	1	79568	80444	redox-regulated molecular chaperone HslO
72	EO946_RS00430	EO946_00430	WP_003218398.1	NA	1	80493	81387	peptidyl-prolyl cis-trans isomerase
73	EO946_RS00435	EO946_00435	WP_003218399.1	cysK	1	81462	82389	cysteine synthase A
74	EO946_RS00440	EO946_00440	WP_003218400.1	NA	1	82553	83963	anthranilate synthase component I family protein
75	EO946_RS00445	EO946_00445	WP_003218401.1	pabA	1	83976	84561	aminodeoxychorismate/anthranilate synthase component II
76	EO946_RS00450	EO946_00450	WP_003218402.1	pabC	1	84560	85442	aminodeoxychorismate lyase
77	EO946_RS00455	EO946_00455	WP_003218403.1	folP	1	85423	86281	dihydropteroate synthase
78	EO946_RS00460	EO946_00460	WP_003218404.1	folB	1	86273	86636	dihydroneopterin aldolase
79	EO946_RS00465	EO946_00465	WP_003218405.1	folK	1	86632	87136	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
80	EO946_RS00470	EO946_00470	WP_003218406.1	NA	1	87087	87306	helix-turn-helix transcriptional regulator
81	EO946_RS00475	EO946_00475	WP_003218407.1	dusB	1	87319	88321	tRNA dihydrouridine synthase DusB
82	EO946_RS00480	EO946_00480	WP_003218408.1	lysS	1	88412	89912	lysine--tRNA ligase
83	EO946_RS00560	EO946_00560	WP_003225724.1	NA	1	101274	101739	transcriptional regulator CtsR
84	EO946_RS00565	EO946_00565	WP_003225726.1	NA	1	101752	102310	protein-arginine kinase activator protein McsA
85	EO946_RS00570	EO946_00570	WP_003225728.1	NA	1	102309	103401	protein arginine kinase
86	EO946_RS00575	EO946_00575	WP_003225731.1	NA	1	103397	105830	ATP-dependent Clp protease ATP-binding subunit
87	EO946_RS00580	EO946_00580	WP_003225734.1	radA	1	105921	107298	DNA repair protein RadA
88	EO946_RS00585	EO946_00585	WP_003225736.1	disA	1	107301	108384	DNA integrity scanning protein DisA
89	EO946_RS00590	EO946_00590	WP_003225738.1	NA	1	108497	109598	PIN/TRAM domain-containing protein
90	EO946_RS00595	EO946_00595	WP_003225740.1	NA	1	109612	110311	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
91	EO946_RS00600	EO946_00600	WP_003225745.1	NA	1	110303	110780	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
92	EO946_RS00605	EO946_00605	WP_003225747.1	NA	1	110870	112322	glutamate--tRNA ligase
93	EO946_RS00610	EO946_00610	WP_003225749.1	cysE	1	112625	113279	serine O-acetyltransferase
94	EO946_RS00615	EO946_00615	WP_003225751.1	cysS	1	113275	114676	cysteine--tRNA ligase
95	EO946_RS00620	EO946_00620	WP_003225753.1	NA	1	114679	115111	mini-ribonuclease 3
96	EO946_RS00625	EO946_00625	WP_003225755.1	rlmB	1	115094	115844	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
97	EO946_RS00630	EO946_00630	WP_003225756.1	rae1	1	115850	116363	ribosome-dependent mRNA decay endonuclease Rae1/YacP
98	EO946_RS00635	EO946_00635	WP_003225758.1	sigH	1	116425	117082	RNA polymerase sporulation sigma factor SigH
99	EO946_RS00640	EO946_00640	WP_003156421.1	rpmG	1	117174	117324	50S ribosomal protein L33
100	EO946_RS00645	EO946_00645	WP_003225761.1	secE	1	117357	117537	preprotein translocase subunit SecE
101	EO946_RS00650	EO946_00650	WP_003225764.1	nusG	1	117716	118250	transcription termination/antitermination protein NusG
102	EO946_RS00655	EO946_00655	WP_003156430.1	rplK	1	118417	118843	50S ribosomal protein L11
103	EO946_RS00660	EO946_00660	WP_003225765.1	NA	1	118937	119636	50S ribosomal protein L1
104	EO946_RS00665	EO946_00665	WP_003225766.1	NA	1	119888	120389	50S ribosomal protein L10
105	EO946_RS00670	EO946_00670	WP_003156436.1	NA	1	120432	120804	50S ribosomal protein L7/L12
106	EO946_RS00675	EO946_00675	WP_003225768.1	NA	1	120893	121499	class I SAM-dependent methyltransferase
107	EO946_RS00680	EO946_00680	WP_003225770.1	rpoB	1	121746	125328	DNA-directed RNA polymerase subunit beta
108	EO946_RS00685	EO946_00685	WP_003225772.1	rpoC	1	125389	128989	DNA-directed RNA polymerase subunit beta'
109	EO946_RS00690	EO946_00690	WP_003225778.1	NA	1	129164	129413	50S ribosomal protein L7ae-like protein
110	EO946_RS00695	EO946_00695	WP_003225781.1	NA	1	129526	129943	30S ribosomal protein S12
111	EO946_RS00700	EO946_00700	WP_003225784.1	rpsG	1	129984	130455	30S ribosomal protein S7
112	EO946_RS00705	EO946_00705	WP_003225785.1	fusA	1	130507	132586	elongation factor G
113	EO946_RS00710	EO946_00710	WP_003225787.1	tuf	1	132705	133896	elongation factor Tu
114	EO946_RS00715	EO946_00715	WP_003225789.1	NA	1	133996	134953	alpha/beta hydrolase
115	EO946_RS00720	EO946_00720	WP_003156464.1	rpsJ	1	135190	135499	30S ribosomal protein S10
116	EO946_RS00725	EO946_00725	WP_003225791.1	NA	1	135538	136168	50S ribosomal protein L3
117	EO946_RS00730	EO946_00730	WP_003225792.1	rplD	1	136195	136819	50S ribosomal protein L4
118	EO946_RS00735	EO946_00735	WP_003225793.1	NA	1	136818	137106	50S ribosomal protein L23
119	EO946_RS00740	EO946_00740	WP_003225795.1	rplB	1	137137	137971	50S ribosomal protein L2
120	EO946_RS00745	EO946_00745	WP_003156472.1	rpsS	1	138028	138307	30S ribosomal protein S19
121	EO946_RS00750	EO946_00750	WP_003225797.1	rplV	1	138323	138665	50S ribosomal protein L22
122	EO946_RS00755	EO946_00755	WP_003225799.1	rpsC	1	138668	139325	30S ribosomal protein S3
123	EO946_RS00760	EO946_00760	WP_003225801.1	rplP	1	139326	139761	50S ribosomal protein L16
124	EO946_RS00765	EO946_00765	WP_003225802.1	NA	1	139750	139951	50S ribosomal protein L29
125	EO946_RS00770	EO946_00770	WP_003225804.1	rpsQ	1	139973	140237	30S ribosomal protein S17
126	EO946_RS00775	EO946_00775	WP_003225805.1	rplN	1	140277	140646	50S ribosomal protein L14
127	EO946_RS00780	EO946_00780	WP_003156486.1	NA	1	140682	140994	50S ribosomal protein L24
128	EO946_RS00785	EO946_00785	WP_003225809.1	rplE	1	141020	141560	50S ribosomal protein L5
129	EO946_RS00790	EO946_00790	WP_003156488.1	rpsN	1	141582	141768	30S ribosomal protein S14
130	EO946_RS00795	EO946_00795	WP_003225812.1	rpsH	1	141799	142198	30S ribosomal protein S8
131	EO946_RS00800	EO946_00800	WP_003225814.1	NA	1	142227	142767	50S ribosomal protein L6
132	EO946_RS00805	EO946_00805	WP_003225816.1	NA	1	142799	143162	50S ribosomal protein L18
133	EO946_RS00810	EO946_00810	WP_003156493.1	NA	1	143186	143687	30S ribosomal protein S5
134	EO946_RS00815	EO946_00815	WP_003156497.1	rpmD	1	143700	143880	50S ribosomal protein L30
135	EO946_RS00820	EO946_00820	WP_003225819.1	NA	1	143910	144351	50S ribosomal protein L15
136	EO946_RS00825	EO946_00825	WP_003225821.1	secY	1	144352	145648	preprotein translocase subunit SecY
137	EO946_RS00830	EO946_00830	WP_003225823.1	NA	1	145702	146356	adenylate kinase
138	EO946_RS00835	EO946_00835	WP_003225828.1	map	1	146352	147099	type I methionyl aminopeptidase
139	EO946_RS00840	EO946_00840	WP_013307895.1	NA	1	147136	147361	ribosome-binding protein ybzG
140	EO946_RS00845	EO946_00845	WP_003156508.1	infA	1	147409	147628	translation initiation factor IF-1
141	EO946_RS00850	EO946_00850	WP_003156543.1	rpmJ	1	147661	147775	50S ribosomal protein L36
142	EO946_RS00855	EO946_00855	WP_003156545.1	rpsM	1	147797	148163	30S ribosomal protein S13
143	EO946_RS00860	EO946_00860	WP_003225831.1	rpsK	1	148183	148579	30S ribosomal protein S11
144	EO946_RS00865	EO946_00865	WP_003225835.1	NA	1	148755	149700	DNA-directed RNA polymerase subunit alpha
145	EO946_RS00870	EO946_00870	WP_003225836.1	rplQ	1	149777	150140	50S ribosomal protein L17
146	EO946_RS00875	EO946_00875	WP_003225838.1	NA	1	150270	151116	energy-coupling factor ABC transporter ATP-binding protein
147	EO946_RS00880	EO946_00880	WP_003225839.1	NA	1	151091	151961	energy-coupling factor ABC transporter ATP-binding protein
148	EO946_RS00885	EO946_00885	WP_003225841.1	NA	1	151957	152755	energy-coupling factor transporter transmembrane protein EcfT
149	EO946_RS00890	EO946_00890	WP_003225843.1	truA	1	152764	153508	tRNA pseudouridine(38-40) synthase TruA
150	EO946_RS00895	EO946_00895	WP_003225844.1	rplM	1	153669	154107	50S ribosomal protein L13
151	EO946_RS00900	EO946_00900	WP_003225846.1	rpsI	1	154127	154520	30S ribosomal protein S9
152	EO946_RS00905	EO946_00905	WP_003225848.1	NA	-1	154625	154883	hypothetical protein
153	EO946_RS00910	EO946_00910	WP_003225850.1	NA	1	155003	155771	class I SAM-dependent methyltransferase
154	EO946_RS00915	EO946_00915	WP_003225852.1	NA	1	155967	156411	YbaK family protein
155	EO946_RS00920	EO946_00920	WP_003225854.1	cwlD	1	156470	157184	N-acetylmuramoyl-L-alanine amidase CwlD
156	EO946_RS00925	EO946_00925	WP_003225855.1	NA	1	157279	158338	iron-sulfur carrier protein/transcriptional regulator SalA
157	EO946_RS00930	EO946_00930	WP_003225857.1	gerD	-1	158372	158930	spore germination protein GerD
158	EO946_RS00935	EO946_00935	WP_003225859.1	NA	1	159039	159636	KinB-signaling pathway activation protein
159	EO946_RS00940	EO946_00940	WP_003225861.1	pdaB	-1	159636	160401	polysaccharide deacetylase family sporulation protein PdaB
160	EO946_RS01020	EO946_01020	WP_003223613.1	NA	1	176416	176827	hypothetical protein
161	EO946_RS01025	EO946_01025	WP_003223615.1	NA	1	177098	178535	SulP family inorganic anion transporter
162	EO946_RS01030	EO946_01030	WP_079996281.1	NA	1	178681	179602	bile acid:sodium symporter family protein
163	EO946_RS01035	EO946_01035	WP_003223619.1	NA	-1	179618	180368	alpha/beta hydrolase
164	EO946_RS01040	EO946_01040	WP_003223622.1	NA	-1	180364	181375	iron ABC transporter permease
165	EO946_RS01045	EO946_01045	WP_003223624.1	NA	-1	181367	182372	iron ABC transporter permease
166	EO946_RS01050	EO946_01050	WP_003223626.1	NA	-1	182390	183344	iron ABC transporter substrate-binding protein FeuA
167	EO946_RS01055	EO946_01055	WP_013307897.1	NA	-1	183434	185024	AraC family transcriptional regulator
168	EO946_RS01060	EO946_01060	WP_003223628.1	NA	-1	185214	186459	DUF1343 domain-containing protein
169	EO946_RS01065	EO946_01065	WP_003223630.1	NA	-1	186472	188401	hypothetical protein
